Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717674279395,14.887501,-14.231251,-43.40625,B,B1
1717674280381,14.925,-14.137501,-43.350002,B,B1
1717674281394,14.906251,-14.137501,-43.36875,B,B1
1717674282378,14.925,-14.118751,-43.40625,B,B1
1717674283390,14.94375,-14.062501,-43.29375,B,B1
1717674284376,14.887501,-14.08125,-43.3125,B,B1
1717674285396,14.906251,-14.08125,-43.29375,B,B1
1717674286375,14.906251,-14.118751,-43.29375,B,B1
1717674287397,14.887501,-14.156251,-43.29375,B,B1
1717674289226,14.906251,-13.875001,-43.3875,B,B1
1717674290203,15.39375,-13.425,-43.331253,B,B1
1717674291210,16.837502,-13.087501,-42.600002,B,B1
1717674292202,14.400001,-17.306252,-39.300003,B,B1
1717674293219,9.431251,-20.90625,-36.3375,B,B1
1717674294208,4.275,-24.431252,-33.487503,B,B1
1717674295221,-0.99375004,-27.91875,-30.618752,B,B1
1717674296206,-6.1875005,-31.556252,-27.73125,B,B1
1717674297228,-11.4375,-35.49375,-24.73125,B,B1
1717674298203,-17.19375,-39.600002,-21.7875,B,B1
1717674299222,-23.98125,-43.518753,-19.40625,B,B1
1717674300202,-26.737501,-43.03125,-19.59375,B,B1
1717674301222,-26.94375,-43.162502,-19.425001,B,B1
1717674302208,-26.493752,-43.125,-19.875,B,B1
1717674303220,-24.993752,-42.73125,-21.150002,B,B1
1717674304205,-22.893751,-41.850002,-22.875,B,B1
1717674305215,-20.23125,-40.8375,-24.73125,B,B1
1717674306204,-17.2875,-40.0125,-26.437502,B,B1
1717674307222,-14.343751,-39.28125,-28.275002,B,B1
1717674308201,-11.56875,-38.325,-30.243752,B,B1
1717674309221,-8.7375,-37.40625,-31.968752,B,B1
1717674310208,-6.4500003,-36.768753,-33.112503,B,B1
1717674311218,-5.0625,-36.525,-33.375,B,B1
1717674312207,-4.4812503,-36.6375,-33.3375,B,B1
1717674313219,-4.425,-36.91875,-33.1875,B,B1
1717674314202,-4.5,-37.0125,-33.206253,B,B1
1717674315225,-4.59375,-37.0875,-33.318752,B,B1
1717674316203,-4.6687503,-37.068752,-33.43125,B,B1
1717674317223,-4.6875,-36.84375,-33.80625,B,B1
1717674318200,-4.14375,-36.693752,-33.84375,B,B1
1717674319216,-3.45,-36.3375,-33.9375,B,B1
1717674320205,-2.5125,-35.90625,-33.99375,B,B1
1717674321217,-0.88125,-35.568752,-33.84375,B,B1
1717674322205,1.725,-35.943752,-32.5875,B,B1
1717674323227,4.7250004,-36.61875,-30.562502,B,B1
1717674324201,7.74375,-37.48125,-28.275002,B,B1
1717674325225,10.668751,-38.49375,-25.95,B,B1
1717674326202,13.031251,-39.43125,-23.831251,B,B1
1717674327725,15.225,-40.612503,-21.69375,B,B1
1717674328710,17.2875,-41.86875,-19.518751,B,B1
1717674330528,18.675001,-43.0875,-17.60625,B,B1
1717674331505,18.956251,-43.537502,-16.63125,B,B1
1717674332518,18.862501,-43.66875,-16.3875,B,B1
1717674333795,18.806252,-43.8375,-16.237501,B,B1
1717674336434,18.618752,-44.34375,-14.981251,B,B1
1717674337411,16.612501,-45.412502,-12.468751,B,B1
1717674338431,13.406251,-46.425003,-9.69375,B,B1
1717674339416,10.125,-47.53125,-7.0312505,B,B1
1717674340430,7.51875,-48.750004,-4.9875,B,B1
1717674341414,5.925,-49.7625,-3.9375002,B,B1
1717674342429,4.59375,-50.775,-3.2250001,B,B1
1717674343412,4.03125,-51.73125,-3.0375001,B,B1
1717674344435,4.2937503,-51.35625,-5.5125003,B,B1
1717674345410,6.80625,-49.2,-10.1625,B,B1
1717674346430,10.368751,-46.40625,-15.6,B,B1
1717674347418,13.6125,-42.975002,-21.1875,B,B1
1717674348431,15.13125,-39.487503,-26.1375,B,B1
1717674349415,15.337501,-36.300003,-30.13125,B,B1
1717674350429,15.450001,-33.05625,-33.75,B,B1
